Week,WTM,EW,Top,Base,Other
1,269,57,150,55,354
2,438,443,205,435,179
3,220,122,110,325,191
4,469,98,30,380,376
5,510,245,10,90,208
6,135,48,35,0,48
7,412,159,343,100,444
8,106,77,496,257,96
9,342,312,1545,433,247
10,366,49,50,223,59
11,10,27,5,10,58
12,150,132,112,145,315
13,360,303,30,80,151
14,350,183,25,66,310
15,306,203,72,190,113
16,267,280,40,125,93
17,101,275,27,125,112
18,216,326,10,115,150
19,239,407,430,27,82
20,147,105,215,40,62
21,144,195,175,287,150
22,143,423,27,220,83
23,277,648,82,275,92
24,226,336,55,145,130
25,293,98,1040,162,87
26,363,129,60,105,133
27,155,291,45,75,109
28,120,218,0,103,340
29,56,143,42,408,148
30,0,0,0,0,0
